# Time Threads
178.38017580000000000000 1
125.54858380000000000000 2
126.97202160000000000000 3
128.83759780000000000000 4
138.39116220000000000000 5
139.71938480000000000000 6
129.13476560000000000000 7
128.71440420000000000000 8
125.92636700000000000000 9
143.87338880000000000000 10
121.85439440000000000000 11
146.79501940000000000000 12
133.29575180000000000000 13
132.82197240000000000000 14
117.24213880000000000000 15
131.01933600000000000000 16
123.90039080000000000000 17
130.31171880000000000000 18
124.27651400000000000000 19
142.48740220000000000000 20
133.89624040000000000000 21
124.34277320000000000000 22
118.60332040000000000000 23
119.60258800000000000000 24
133.57578120000000000000 25
144.39443360000000000000 26
129.08999020000000000000 27
116.37749020000000000000 28
126.57221680000000000000 29
118.16196300000000000000 30
116.89853520000000000000 31
131.74218740000000000000 32
